relative_time,AccX,AccY,AccZ,DecibelSource
265289,8.042176208496095,2.2843995666503907,3.297043762207031,60.330137971687236
265361,8.98566421508789,2.646346893310547,4.724026336669922,59.19589526064403
265423,8.614286499023438,2.7129583740234375,4.432133331298829,62.4555313427826
265489,8.822802886962892,2.529140625,3.951632537841797,56.065307625127346
265562,8.361761627197266,2.332898712158203,4.355043640136719,60.573267501012765
265623,8.275540924072265,2.505040740966797,4.770729217529297,59.423151767259874
265689,8.43959976196289,2.436782684326172,4.379742279052735,65.66123059975479
265762,8.50516342163086,2.427202606201172,4.6765750122070315,62.0058842021854
265823,8.187823333740235,2.470312957763672,4.457879791259765,66.12035378200142
265889,8.794362030029298,2.252066802978516,4.860542449951172,54.46176658688236
265962,8.402327270507813,2.328707427978516,4.3295965576171875,58.998697269715656
266023,8.450527038574219,1.76991943359375,4.377496948242188,61.10249885030686
266089,8.595126342773439,1.789977722167969,4.93134521484375,63.19184787575948
266161,8.025411071777345,1.721869354248047,4.395010528564454,65.12738546268582
266223,8.829538879394532,1.402134246826172,4.0109092712402346,68.18192561223394
266289,8.322543182373048,1.4421011352539064,3.9914497375488285,61.69452234717242
266361,8.859027557373047,1.700164489746094,5.071902923583985,57.61434656804067
266423,8.555009765625,1.6085549926757814,4.900359649658204,59.21044181131546
266489,8.756041717529298,1.653760986328125,4.504882049560547,63.645977052938036
266561,8.953181762695312,1.277742919921875,3.8312828063964846,67.8919178810649
266623,8.913065185546875,1.3651611328125002,3.2325279235839846,58.292497239323865
266689,9.512418823242188,1.6428337097167969,5.1539323425292976,54.85146244242089
266762,8.804091796875001,1.6328045654296877,4.9371830749511725,59.24822331525644
266823,8.392447814941407,1.4388079833984375,5.363945617675782,59.57256166268094
266889,8.708141326904297,1.4820680236816406,5.830076293945313,54.7656210268795
266962,8.986712036132813,1.3931529235839843,3.6803965759277344,63.357252154225876
267023,9.09433822631836,1.1476634216308594,3.212918701171875,67.32507626558571
267089,8.943751373291017,1.2184661865234376,4.115691375732422,60.5421227707282
267162,9.534722442626954,1.4714401245117188,6.325845336914063,60.980300894570725
267223,8.552764434814453,1.4117143249511719,5.6010525512695315,57.40144697926319
267289,8.80648681640625,1.1415261840820312,5.536836090087891,58.95849447647641
267361,8.813522186279297,1.0324031066894532,4.245621185302735,58.46132289659302
267423,8.397237854003906,1.042881317138672,3.502716064453125,58.58025005624195
267489,8.810528411865235,0.9936337280273438,3.4275723266601563,57.31221191713043
267561,8.488547973632812,1.4467414855957033,3.836372222900391,58.214840504033425
267623,7.783514099121094,1.1204200744628907,3.5522630310058596,56.886262408082786
267689,8.398884429931641,1.8341358947753907,6.777755584716798,63.22553159508686
267762,9.239685974121095,1.6986676025390626,7.198081512451172,58.952755461866474
267823,9.368717651367188,2.125579833984375,7.78665756225586,59.65088289718441
267889,8.46160400390625,1.8803897094726563,5.342540130615235,65.27293804766857
267962,8.774603118896485,1.9145187377929689,4.090393981933594,55.39826052343652
268023,8.190368041992189,1.8179695129394533,2.7563681030273437,58.820364651510005
268089,8.62925537109375,2.079026641845703,4.573738861083984,62.01085631690645
268162,8.362210693359376,2.009720764160156,3.799848175048828,67.17967668396594
268223,9.106612701416015,1.9558328247070313,5.532046051025391,63.24611241987107
268289,8.472531280517579,1.88488037109375,3.765868835449219,64.1930712526489
268362,8.955277404785157,2.038011932373047,3.5947746276855472,61.004925440491455
268423,8.400381317138672,1.9931053161621095,3.190315704345703,58.50682986334541
268489,8.377329254150391,1.7591418457031252,4.162693634033204,62.270669393943486
268561,9.391620025634767,2.1909938049316406,5.464686126708985,65.72689020798182
268623,8.052355041503906,1.8470091247558595,3.8507423400878906,65.28688057295678
268689,8.643176422119142,2.040556640625,4.597988433837891,56.89194275526212
268761,8.550070037841797,2.0043319702148437,4.532873840332032,58.06454035883899
268823,8.415948944091797,1.9128721618652345,4.704267425537109,58.90117968935719
268889,8.285121002197267,2.211800537109375,5.063220977783203,60.438572095139634
268962,8.317304077148439,2.0444485473632814,4.878505096435547,60.36568217629749
269023,8.316705322265625,1.996099090576172,4.552033996582032,58.22630252334192
269089,8.135132904052735,1.886077880859375,4.190835113525391,60.973711625463466
269161,8.966953125,1.9202069091796876,4.305346984863282,62.199131350193014
269223,9.289682006835937,2.262994079589844,5.288352813720703,66.66190076781737
269289,8.434959411621094,2.071542205810547,4.812192993164063,59.38342068405406
269360,9.117689666748047,2.2960752868652343,4.81159423828125,66.99457096347372
269423,8.590336303710938,2.2360501098632812,4.977299652099609,58.42742752159437
